Feature,Target
 يكذبون الكذبه ويصدقونها سذج لازم يقرن النصر في الهلال لانه مسير المشكله ان رئيس النصر الحالي لما كان رئيس للرابطه استعان في رئيس و لكي يساعدونه بجلب شركات راعيه للرابطه المصيبه الأعظم انه قرن ناديه بالهلال رغم الفارق الكبير بالأرقام على مستوى الرعايات ,Safe
 جمهور الفقر ضعيف ينتظرون فقرهم ينهض ويحقق لو بطوله وحده بعد السنوات العجاف وهالموسم ماقصروا الربع معكم وقفوا الهلال والاتحاد بالايقافات وباقي الشباب ولكن ماشاء الله عليهم ماسكين الخط عسى الله يوفقهم ولا يحقق امنية غيرهم من الضعوف ان يوقف قطارهم بالدوري ,risky
 و ليتكم تصملون مع هذا الضجيج والصراخ وسحبة الجوالين من اول الموسم نهاية الموسم تسلمون عمكم كل شي ,Safe
 بطولة الدوري يبغالها نفس طويل والهلال فريق ثقيل حتى وان كان يلعب بالاحتياط اتمنى من جمهور الشباب دعم الفريق وعدم اشغال اللاعبين خارج الملعب نبغى الدوري بالمختصر ,Safe
 غير مرحب فيهم كيف نادي معروف بنادي الشيوخ و اسمه لا اسم النادي ولا لقب النادي مناسب للنساء ,Safe
 بالغت يازعيم ولن يذهب بعيداً واحفظها بالمفضله وهاتتذكر كلامي ، الدوري بين وفرع الهلال باذن الله ,Safe
 هتان اللاعب الوحيد السعودي اللي تقدر تقول عليه لاعب محترف حقيقي يعطي كل اللي عنده علشان يوصل لمستوى عالي من المستوى والاداء والاستمراريه الله يوفقه وباذن الله نشوفه افضل لاعب سعودي بالارقام ,Safe
 الحين تطمنت بعد هالتغريدة ان ماله منافس له الا وبإذن الله تخدمنا نتايج الانديه الثانيه مع مباراتنا معهم ,Safe
 مدرب الشباب اذا مايغير قناعاته و يغير تكتيكة ستكون رجعت والابقاء على دياز وستكون نتيجة ثقيلة على الشباب ,Safe
 شي طبيعي اذا يلعب بتحفظ قدام ماهو قصور فيهم طبعًا ولكن أنت تلعب مع تفتح اللعب تتحمل ما يجيك ,Safe
 سلمت أناملك ، أتمنى ان تستمر مقولة لم يختبر إلى نهاية الموسم ، فهم يعلمون اننا نعلم بأنهم يضحكون على انفسهم وما تتفوه به ألسنتهم ماهو الا هذيان وحقد دفين منذ وقت بعيد والشعور بعقدة النقص ومشاهدة تناقضهم لأنفسهم والاستنقاص يزيد من توهج الليث بأذن الله ,Safe
 القحطاني الفاشل اذا لعب الاثنين ثالثه هلاليه مسألة وقت ,risky
 هذا ما اعتدناه من نادي على مدى عقود ولكن هل يكون للشيخ كلمة هذا الموسم ليرضي جمهوره القليل المغلوب على امره؟ ,Safe
 اللي يبي يهايط بفريقه نصيحه ينتظر الى بعد كأس العالم كل الفرق حاليآ سيئه ما عدآ ,risky
 اوقفو فترتي تسجيل لعل وعسى يخلا الجو لفريقهم لاكن فريقهم يترنح وطلع لهم و وجن الملاعب سرجعون لهم صبراً ياقواطي صبراً ,risky
 الصقور يأخذ من حسناتي كل ما تذكرة حماقته وتسببه في الهدف الوحيد في مرمانا يارب سامحني بس ,Safe
 مافيه فريق بالدوري السعودي يملا العين غير فاله الدوري ,Safe
 اقسم بالله يادمبيلي يا رْنجي لو ماتعقل لا الدعس على جدك السابع يا فرانسي ياكلب يا واطي ,risky
 الإدارة الشبابية يجب أن تحمي جميع منسوبي النادي ، ترك الحبل على الغارب لكل من أراد النيل من منسوبي النادي فيه تخلّي عن مسؤولياتها الواجب التصدي لمثل هذه التجاوزات حتى ولو كان مشجع شبابي كونك مشجع شبابي لا يمنحك الحق بالإساءة للاعبي إذاً ماذا تركت لجماهير الأندية الأخرى؟ ,Safe
 صراحة مافيه فريق ممتع الى الان او مقنع في الدوري أفضل السيئين لكن بدون مدرب ثقيل فريق ضايع بس مقفل ب ٨ لاعبين ولعبه ممل اصابات وفريق ماله نفس يلعب ,Safe
 من زينة اذا فيه حكم عادل كان مطرود بكل مباراة ومع الحكام ضد الشباب بتشوفه كل مباراة طرد مثل باولينهو التقليد فاكره ,Safe
 خلو الهياط الله يستر ان اشاء الله الفوز شبابي ,Safe
 هي كورة قدم فوز وخساره على الارض والميدان الشباب الافضل والاجمل والامتع وكلنا متفائلين باذن الله تعالى فوز وثلاث نقاط ولكن لا قدر الله في حال حدثت اي نتيجه غير ذلك رغم انك سوف تستمر بالصداره ركزو على القله منهم هل سيستمر يدعم الكيان انت تحت المجهر يا الحبيب ,Safe
 مو في صالح المتعة عدم فوز الفرق المرشحة حتى فوزهم يزيد فريقنا بالمتعة و مواصلة الانتصارات و تقديم المستويات الفنية الرفيعة صحيح تعثرهم يسعدنا لعدم مزاحمة صدارتنا و لكن أعتقد أن الشباب بعون الله سيكون أقل فريق يتعثر بهذا الموسم حسب ما نشوف من مستوى الفريق ,Safe
 لم تعد نادي شيوخ سأعتزل تشجيعك ايها ,Safe
 على جمهور الوقوف خلف ناديهم وجميع اللاعبين وعدم الانجراف خلف من يشخصنها مع لاعبين معينين ويهاجمهم مستوى الفريق يتحمله الجميع إدارة لاعبين مدرب لكن أن تنجرف خلف من يشخصنها مع لاعب لتفاوت مستواه من مبارة لمبارة هذا اللي يريده من ينتظر تعثر الشباب فلا تكن إمعة لهم ,Safe
 هههههههههههههه دائماً الهلال يمر بأزمة نتائج و هبوط مستوى قبل و سبحان الله لاعبيه يلعبون معاه بكل ما أوتوا من قوة و مهارة و حتى حظ و يكسبون المباراة ,Safe
 الهجوم على اللاعبين لن يفيد الشباب كفريق يُبنى للبطولات الاختيار والقرار عند المدرب دور الجمهور الدعم والتشجيع والتحفيز مدح اللاعبين المبالغ فيه والتهجم عليهم لايفيد خصوصًا اذا كان الجمهور يتهجم على لاعب ويترك الاخر محبة فيه الاسلوب هذا يدمر الانديه كونوا جمهور واعي محترم ,Safe
 عودة الكبير أوجعت صغار الأندية وصغار العقول ,risky
 الله يستر ما تكون مذله الوضع في الهلال صعب غيابات بالجمله مستوى سيء لا يوجد مبالاة من لاعبين ان شاء الله نتيجة اجابيه و نكون اختبار حقيقي لشباب فوز مهم راح يكون ضد الفرق المتنافسة ,risky
 اتمنى من مدربنا في مباراة الهلال اللعب بتوازن ومنطقية وعدم المبالغة في الهجوم او الدفاع،ومن المهم مشاركة القحطاني بدل جوانكا لاعطاء الفرصة لبانيقا وكروشفياك بالتقدم وابقاء القحطاني كساتر دفاعي،كلنا ننتقد مستوى متعب ولكن طبيعي لكل لاعب انخفاض مستواه لابد من دعمه ,Safe
 في كل مره يتصدر فيها ما نخاف من احد الا اذ جانا يعطينا و نرجع ضعيفين يارب يسرها خلاص ذا الهلال متى ينتهي قسم بالله الخفو وصل حده خاصه ان الاظهره عندك الحربي و الامعه الثاني الصقور ,risky
 توقفوا من الانتقادات لا تزعزعوا ثقتهم بانفسهم كونوا الداعم والجيش الاول لهم ,Safe
 في اخر سنتين ملاحظ فيه يكون مختلف قدام الفرق الكبيره لو يخسر ٥ مباريات من فرق صغيره وتقابله راح يكون محتلف ويمكن يفوز عليك الادارة لها دور كبير في هذا الجانب ولازم نهيئ اللاعبين لتقديم كل ماعندهم الفوز ع الهلال له مكاسب فنيه ومعنويه كبير ,Safe
 تجاوبك مع بعض الأشكال يدل عن فكرك وعقليتك تابعوا الاعلامي الفلته واضحكوا إذا قلنا اعلام مافيهم خير افهموا بعض الناس اذا قروا رده ههههههههههههههه ,Safe
 بيض الله وجهك يا بو نواف انت والقائمين على المدرج الشبابي اللي بفضل الله ثم جهودكم صرنا نشوف الحضور الجماهيري في بدا يرجع شيئاً فشيئاً لسابق عهده جهودكم تذكر فتشكر ,Safe
 حين تكون مخرجات التحليل بهذه الفكر العقيم تفهم انه اعلامي حاقد متوشح بالاصفر ، الله يزيدك غبن و صياح ,risky
 خلاص ما ينفع نسكت أكثر من كذا واحب علينا نجتمع وندعم إدارة جديدة قادرة على قيادة بعد رحيل الإدارة الحالية مستعد أجي مكة الأسبوع الجاي ونتقابل لنقف ورا الشخص اللي كلنا نقدر نثق فيه أو نجتمع في الجوهرة أمام الاتحاد حتى ما يستفيدوا من حضورنا الإدارة الحالية ,Safe
 سامحوني على كثرة التعليقات اليوم لكني فعلاً حسيت بالمرض أمس حتى ما تابعت أكثر من دقيقة من المباراة يا سلطان ويا توفيق وحتى غيركم في الإدارة تذكروا أنكم مسؤولين والله يحاسبكم على رواتبكم إذا الموضوع راتب وخلاص دوروا غيرها ولا تتعبونا أكبر منكم حرام والله يا ناس ,Safe
 يعني يجونا بعدين ويقول لك نحن مو واقفين معاهم ونحن نتآمر ضدكم ها يا إدارة سلطان وتوفيق يا إدارة إللي ما يغلبها غلاب وشغالين ساعة فين نتائج شغلكم؟ فين المنافسة على كل الألقاب؟ والله نحن وقفنا معاكم وحسننا الظن فيكم وتفاءلنا شفنا الصفقات الغريبة وسكتنا وبعدين؟ ,Safe
 يعني تعبنا معاهم ونحن نتكلم واعطونا وضعية الي ازعجتونا تركناهم يشتغلو وما اتكلمنا اكلنا على راسني والنتائج تبين كل هذا طيب متى بيسمعولنا متى بيحسو انهم غلط مو معقول الي بيصير عايشين دور انهم محاربين من جمهور الوحدة بس الي حاصل انه كل النقاد بيتكلمو على نفس المشاكل ,Safe
 اما انت ياتوفيق حالياً ماشي على خطى موسى المحياني اكبر من تجاربك بالرخصة اكبر انجاز لك سويته خلال ٤ سنوات الكلام فقط خليك متحدث رسمي واترك الكورة ل لناس تفهمها راح تكابر وتستمر ف مكابرتك لين يهبط الفريق ثاني مره ي فاشل ,risky
 قسم بأيآت الله المدرب هذا ما يفهم شئ ولا في راسه اي تدريب ما ادري من اي تشليح جايبينه ترا خلاص زودها انا اكتب الكلام هذا والدقيقه من المباراة ولو فزنا برضو انا عند كلامي المدرب زي الزفت ماشاءالله ,risky
 ثلاث عرضيات اتيحت للطويل جداً بوغيل ولم يستفيد مهاجم لا يجيد التحضين او السرعة او الكنترول او حتى الرأسيات كان الله في عون محبي نلعب بنقص عددي دائماً بتواجده ,Safe
 جمهور لامثيل له رغم أنف كل جاهل وحاقد، ,risky
 مايميز أنه عندما تلم به صعوبات وعثرات سوء اثناء المباراة أو بعد نهايتها نشاهد أن مجهود اللاعبين وحماسهم يتضاعف ولعلنا شهدنا ذلك في عدة مناسبات وأخرها مباراة أمام بإذن الله سنسعد جميعاً باداء مميز ونتيجة ايجابية أمام ,Safe
 فريقك ثقيل ارقد و آمن وابلع العافية خلك في مقدمة الحضور ويكون خير أمام الشقيق كلنا حاضرين بإذن الله ,Safe
 كأنه بصق على الحكم الله يقرفه ياغريب كن أديب في ملعبكم ي لجنة الانضباط ولا جيدين على لاعب دون غيره ,risky
 أنت أحسن واحد يفهم في ثقافة الكعوب إلا تعال تعال من متى صاير ميولك لنادي تفتكر نادي أيام محاولاتك وتلزقك برجالاته وتمسحك بأبواب مجالسهم للظهور والإرتقاء ؟ للأسف علو كعبك كان سمول سياز ما وصلك نصف أسواره واحد صفر هدف بالكعب ,risky
 ليتنا نقف وندعم بدل ما نتكلم عن نادي خاصة لما يكون الكلام من المسؤولين السابقين وخاصة لما يكون فاشل في قيادته العنصريه المزاجية وياتي ويتحدث الان بكل شرف ولو كشف المستور لذهل العالم من النفاق الحمد لله الذي سترنا ,risky
 لمعلوماتك ياسفيه ابناء الجنوب الشرفاء مع قلباً وقالباً ومافيش الا سلاتيح يطالبون بفك الارتباط بناء على تعليمات مامعاكم الا الضراط يابني جعرب ,risky
 كل من يتامرعلا وحدتنا يعتبر عدو مجرب لنا كشعب يمني ولولبس لبوس الشرعيه والتحالف ولاخا واي لافته نحن نقيم الأعمال ولافعال وسئمنا كل شعارات الزيف والخداع وانكانت ذات عناوين براقه فهيا تخفي السم والعدا للشعب اليمني اليمنيه عزتناوقوتنا ,risky
 ليست أن تجلس وحيداً ، الوحدة أن ينفرد بك حزنك وقلقك وخوفك في الوقت الذي لا تجد من يغيث وحدتك الا فنجان من القهوة يشاركك جمال أو قبح مشاعرك ,Safe
 صدقت سرقه الاهلي زمان وكاد يسرق الوان نادي عشان يكون مثل لون الاهلي المصري لكن الوحدة رفضت ,Safe
 صحيح كلامك لكن تشاهد ردة فعل اللاعب بعد نهاية المباراة باردة وغير معبرة على عكس مدرب والاحتياط ,Safe
 هذا اللاعب كنت جدًا معجب فيه من اياام نابولي لاعب كبير و امكانيات ممتازه جدًا صفقة قوية لنادي بعقد لمدة موسمين الآن صفقة رائعه للدوري ,Safe
 اشتقنا ي وحده والله اشتقنا ,Safe
 الله يعين مساحات تويتر على جماهير مولعين الدنيا وفرحانين الله يديم عليكم الفرحه ,Safe
 أتفق مع ياسر شوف هدف اسماعيل مطر في منتخبنا قدام هوساوي وشوف هدف سلمان المؤشر في مرمى الوحدة عندما كان مع وهوساوي مع نفس العيب ,Safe
 واضح ان المنتخب السعودي راح يعاني من الضغط العالي وسرعة الرتم وقوة الألتحام من المنتخبات العالمية ,Safe
 مازلنا نخاف من العرضيات بسبب جبان الحارس عندنا ,risky
 ماهي متعمدة يا حكم الغفلة ,risky
 مارسيال وش فيك لعبت بأعصاب الخصم قبلنا ,Safe
 جالسين نفقد كرة بشكل غبي ,risky
 الله ياخذك حارس كل مباراة اسبك ,risky
 اغلب المدح و الكلام الجميل كان للسفاح هالاند، و أنسى الكثير دور فودين المُرعب، سجّل هاتريك و اسيست، و فنياً كان مميز جداً، كل مباراة يستغل المساحات التي يصنعها هالاند، ثنائي خرافي و متفاهم، و الأجمل من ذلك أنهما يتطوران سوياً و هما بنفس السن ,Safe
 انتقل الى رحمه الله مانشستر يونايتد أثر سكتة قلبية عقب خسارة ضد السيتي َ ,Safe
 يونايتد مساحن فيهم البلاط الخنازير ناس التريخ ,risky
 دائما زرقاء ياخنازير ,risky
 بهكذا عقلية مستحيل هاللاعب يتطور وهذا رد واحد متعجرف متغطرس لا يرى اي قصور بلعبه لما أخطأ تحمل المسؤولية واعتذر لزملاه وللجمهور وتعهد ان يجتهد بالتدريبات لتقديم ما يليق انا من سمعت انه يهايط باحدى الحانات مهددا الشرطة أنا انا كابتن وانا غاسل يدي منه ,risky
 شيل ضربه الجزاء دي يا رونالدو وريحنا من ام نحسك اللي ملازمك دا ,risky
 سبب سوء الدون هو ابو صلعه خلاه احتياط وثبط عزيمته وروحه وطلع بذا المستوى رونالدو يصير له كذا ليه؟؟ ,risky
 الحكم حمار رسمي ,risky
 ذا لاعب بالله ؟ فاشلللللل ,risky
 فريد رفع يده يعتذر من التمرير الخطأ أكثر من تمريراته الصحيحة ,Safe
 دراجي من اوصخ المعلقين ,risky
 اصلا ادارة غبيه من الاول ادفع في لاعب نيجيري ٨٠ مليون والله لاعب حمار طيب غلطت واشتريته، طالبينه ب ٧٠ بيعه واشتري مهاجم ثقيل عليه القيمه لاعب جدا سخيف ,risky
 يا جماعة كيف صباحكم بعد الفوز بالتحكيم والغش والرشوة اللي دفعناها للحكم؟ ,Safe
 شعور جميل تشوف اكثر التايّمز يمدحون لاعيبة تين هاغ خلى النكره لاعب كره فورمة ماكتومناي الكل يمدحها وهذا شي إيجابي اللاعب تطور بشكل كبير تحس أنه نضج فعلاً الموسم الماضي كان سبب سيئاتي وأيضاً دالوت راشفورد برونو فريد ,risky
 القممممممممممم يا صغير لندن ,risky
 مكتومناي الله يحرقك ياشيخ ,risky
 لعنة الله عليك حكم ,risky
 اقسم بالله تين هاغ عطى هاري ماغواير حجمه الطبيعي ,Safe
 كلكم تصنعون من التطبيل نجوم واليوم أبسط دليل ، اللي نفهمه في كرة القدم المدافع الكبير يواجه المهاجم الكبير في هذا الزمن لا يوجد لا مدافع ولا أي لاعب يقارن بالماضي دفاع رقم ستة الأرجنتيني والله لو يواجه ريكاردو اوليفيرا ما يقدر عليه فرمينهو لا يملك الإمكانيات الكبيرة ,Safe
 مشكله اكبر من انها تكون مقتصره على مدرب كما قال رالف الامر اشبه بعمليه قلب مفتوح النادي مستحيل يرجع لمنصه البطولات وراح نعاني اكثر واكثر بدام ملاك النادي موجودين للأسف مع الغلايزر تاريخ النادي وانجازاته قاعده تتلاشى وتين هاغ وقع بالفخ الذي وقعو فيه المدربين السابقين قبله ,Safe
 للامانه قلتها اكثر من مره يستاهل اللي يصير فيه إدارة بدون طموح لاصفقات نفس عناصر الموسم الماضي لاعبين باردين اكيد ماراح تحقق شيء ، الله يعين جمهورهم ,Safe
 يا رونالدو العار لا يلاحقك في اليونايتد اعلن الرحيل هالنادي الكمخة ما بفرع ربع ومعاهم عاهات اولهم هاري ماغوايرر ,risky
 قاعدة كروية غبية مؤمن بها كثيرا اي مدرب متواضع فاشل يبي ينجح يروح يدرب اي منظومة ناجحة سيء ومتهالك ومع ذلك لا ارى اي لمسة هو الخلاق في وجمهور يصفرون عليه لاشغاله وتشتيته لا اعتراضا عليه او انتقاصا او انتقاما ,risky
 عشان ما ننباع الين ينتهي السوق ونبين لهم شكثر حنّا عاهات ان مع بالسراء والضراء وأتمنى بأسرع وقت ينفذون خطط تين هاغ ويجيبون لاعبين مستواهم من جيد جداً الى ممتاز إما تقولي رابيو ؟ وتوجهاتكم غباء بسبب دي يونغ يرفض التوقيع لأجل حقوقه الماديّه بلعنه لا يوقع ,risky
 فريق في نقص هجومي ونقص في ارتكاز الوسط، طبيعي نشوف هالتشوه ,risky
 أول ما طلع رونالدو سجل ياخ قسم بالله انه منتهي ,Safe
 يالله تعالوا ي اللي تقولون دياز سوبر هاه شفتوا تخليص الكوره الفضيحه ولا لقطه البلنتي مايعرف يغطي ورافع ايده وبلنتي عليه ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه وربي مدافع شف اي نادي يبيه بس وبعه قسم ,Safe
 ي جماعه انا كنت اقول اصبروا يبدا الموسم وتشوفون دياز وبلاويه بسم الله ماراح على تغريدتي ولا د الا يطلع لنا بلقطة فضيحه بالتغطيه ويد رافعه فوق وبلنتي عليه ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه وربي منفووووخ سيتي ,Safe
 دياز ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه هذا عاد اكبر منفوخ وربي اكبر منفوخ ولا معطينه الكبتنيه وربي ياهو بيوديهم بدواهي وتذكروا كلامي قسم مدافع عااادي جدا جذا وخلوه سوبر ,Safe
 ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه محرز ماقلت لكم ي جماعه والله العظيم لاعب منففففوخ بس بكرا يعطيك واحد اثنين وينقز الكوره فوق الحارس بعدين تقول واو وش ذا ي محرز ,Safe
 ولا يهون قريلتش والله ما ادفع به مليون قسسسم قسم والله العظيم اجنحه سيئين سيتي ,Safe
 اظهره السيتي كويسين هجوميا وسرعتهم كويسه بس ورا وبالظهر افشل ظهيرين اتوقع بالعالم قسم بهم سوء مب طبيعي ,risky
 صباح الخير يا رونالدو يمكسر الدنيا يا مدغدغ الدنيا يا مالي خزاينك في بنوكك يا حلو يا جميل يا بايع دينك و ارضك يا عرص ,risky
 سالفة اليوروباليج ماهضمتها ابداً فريقك الحالي من أسفل وأقذر الفرق لا مستوى ولا سمعه وتصرح تصريح ساذج؟ لاعبين واجد يتمنون يجون لـ لكن الإداره ورغبة تين هاغ فصلوا على هاللاعب صحيح اللأعب الأفضل بمركزه ولكن خلاص شوف لك بديل بأسرع وقت الى متى وهذا الإصرار عليه ,risky
 لكن بالوقت نفسه علينا أن لاننسى بأن رونالدو عندما يصمم على المغادرة فسوف يغادر كما حدث في ريال مدريد و يوفنتوس بينما موقف ما زال نفسه بالمحافظة على اللاعب هناك الكثير من الضبابية حول مستقبل اللاعب لذلك علينا أن ننتظر إلى آخر يوم في الميركاتو لنرى ما تخبه لنا الأيام ,Safe
 مستغرب ان محد تكلم عن سوء وعفن فان دي بييك ,risky
 لاعبين أبو زلقة مشخصنينها مع الحكم، تراها ودية ومدربكم أبو زلقة ,risky
 عاجبني أسلوب الضغط من الفريق وسرعة استرجاع الكرة ,Safe
 هدف غبي وبارد ماله داعي من دي خيا ,risky
 خير يا عيال الذين شغالين تكسير تراها ودية ,Safe
 لازم خمسة، وتصير صافي يا لبن ويرجع الزعيم زعيم والوضيع وضيع ,risky
 النتايج كلها دمار يخرب بيتكم ,risky
 حسبي الله عليك رابطة إنجليزية غبية عشرة مبارايات حماسية في وقت واحد لكن ماكو فكة من زعيهم كلهم ,risky
 القذر هو تزيفكم للحقائق ياصغيرين والد هالاند هو من بداء في عام م تسبب في اصابة أبعده عن الملاعب لمدة عام وبعد اربع اعوام م روي كين سدد الدين الى والد هالاند وقال له كف عن التمثيل وقم ونهض مثل ماقال والد هلاند الى كين في السابق وبس انتهت مسيرته ,risky
 أي فريق ضعيف يقدر يقدم لوحة فنية جميلة أمام أشباه اللاعبين بفريق ,risky
 دالوت وعرضياته غثا وهم وغم ,risky
 أبو الشغف والروح اللي عندك يا الدون ,Safe
 الحكم مشخصنها مع ؟ ,Safe
 هدف مستحق من أفضل لاعبين في الفريق ,Safe
 اغبى ضغط اشوفه بحياتي ,risky
 بالله عليكم هذا مدافع يونايتد ,Safe
 افشل مدرب في التاريخ يونايتد ,risky
 فريق ولاعبين ومدينه كله على بعضه وضييييع ,risky
 وين التسلل يا حكم الغفلة ,risky
 عندي رأي كروي ثابت النادي اللي يتفاوض مع مدرب جديد بنصف الموسم ؛ عليه أن يتحمل اخفاق المدرب الحالي للفريق ,Safe
 و ، شكلها فضيحه جديده ضد الشياطين ,risky
 الطيور على اشكالها تقع من ٤٠ سنة يشجعون يونايتد يشجعون الليلة راح نشلخهم ,Safe
 أكثر المباريات التي أخشاها هي مباريات المنافس الذي يمر بأوقات صعبة، ويبدو أن نقاط المباراة في المتناول المباراة التي يدخلها بثقة عمياء وتقليل من المنافس هذا السيناريو مخدر قاتل نقاط يونايتد لن تأتي بالساهل كما يظن أغلب الجمهور ,Safe
 حسبي الله عليك من ظهير أيسر غبي ,risky
 ليش خلف الأظهرة دائما تجيء منه أهداف غبية ضدنا ,risky
 حتى النادي بكبره سياسته الكذب حتى لجنة الكفاءة المالية ماسلمت من كذبهم ايش هذا النادي اللي ادمن الكذب عديم المباديء مافيهم احد عاقل ,risky
 عجوز الوحدة المخذرف مؤرخ الغفلة ينتهز الفرصة القصيرة لصعود الطارئ والمؤقت لدوري المحترفين لبث احقاده واوهامه على العميد قبل العودة مجددا ومؤكدا لدوري المظاليم ليخرس مجددا ومطولا وسط احقاده وآحزانه ومعاناته ،، ,risky
 تحتاج رجال جدد تحتاج دماء جدد ٢ الوحدة لن تنجح بهذا العقيم لن تنجح بهولاء ٣ كل شي في الوحدة قديم في الوحدة بفكر منتهي الصلاحية في الوحدة عواجيز بفكر منتهي الصلاحية ٤ الوحدة تحتاج تغيير كامل الوحدة تحتاج تغيير في وكيفية و ,risky
 ألف مبروك الفوز و لدية الأفضل لتقديمة ، ومن جعله صعباً هو التراخي في الربع الثاني والرابع ، شكراً تركي المهنا بطل الثلاثيات يجب أن يعرف إمكانياته حينما يلاعب النصر ,Safe
 ما رحت بعيد يا وليد، انتقلت من نادي الوطن الى نادي الوطن الاخر و اندية العزة و الكرامة الله يوفقك ان شاءالله وين ما رحت ,Safe
 جمهور مع اكثر من جمهور لان الي حضر في مبارة النصر هم جمهور فلو جمعنا حمهور التعاون مايجون مشجع ومع هذا سجل الحضور لتعاون يعني مشجع لنصر و لتعاون المجموع رغم الصياح والنياح ,Safe
 مرض الطائفيه منتشر هالايام وراكم شي ؟ وحق من انزل القران اليفكر يرجع الطائفيه للشارع اندوس على راسه و راس الخلفه التكتيكيه ,Safe
 نور الرشيدي لاعب شاهدته في عدة لقاءات كان اخرها ضد مالي خانته في الظهير الايمن لاعب مميز جدا ماشاء الله ,Safe
 والنعم فيكم كلكم ، خدمتوا شعار وبسببكم مع من سبقكم حبينا النادي والفريق ,Safe
 يوم هبط نادي وهو من الاندية الكبيرة التي حاصلة على الدوري وبطولات محليه وخارجيه محد ذكر الاتفاق وايضا محد ذكرها يوم كانت بدرجة الاولى رغم الوحدة هبط في وقت بقرار ظالم بسبب تافه نزول متاخر والاهلي هبط لسوء لاعبيه وادارته ومع هذا كان يطالبون ببقائه وزيادة الاندية ,Safe
 دعي من اسمك منطلق لي لم الشتات الوحداوي ولا تهتمي بهؤلاء سعدت كثير بتواجد مساحه باسم نادي الوحده تناقش وتساند النادي وتحاول لم الشمل الوحداوي بقيادة اخي ابوأسامة وان شاءالله نرا نادي وجمهور وادارته يدا واحده للعودة للمنصات والبطولات ,Safe
 مع قبل الانتقال للنصر محور ممتاز انسيلمو مع مستوى هابط انسيلمو بعد الرجوع للوحده من النصر مستوى خورافي البيئه ياحبيبي واضحه ,Safe
 انظلم وهو من مكة ظلم اليهود في الله يعينهم اقوى من الدين ومن كل شي في مكة ,risky
 يا جماهير مو معقول توصل الفرحة إلا هذه الدرجة شاهدوا جماهير فريقهم فايز على ومتصدر الدوري وزعلانين لا ويثيرون المشاكل في ناديهم بين و سالم وماريغا ضاحكين عليهم إعلام الفقر بكلمة يجامل لتدمير كل فرحة بفوز الهلال ,Safe
 حسبي الله ونعم الوكيل حسبي الله ونعم الوكيل فكل من عبث عمداً في نادينا ، وابعد الله كل من خذلنا النادي لم يعد ملك لجمهوره ، النادي لهم باذن الله اشهر معدودة ونرى النور نحن مع كل من يـ خدم النادي وليس من يـ هدم النادي ,Safe
 هذا الرجل وعد في حال فاز نادي على في مباراة أن يحلق شنبه بحث عن الشهرة حتى لو كان الثمن الشنب ,Safe
 والله لعب فيهم لعب غريبة مع فشل انسيلمو ومع فنان مبدع اظن لانه النصر جابه بعد خطفه من ودعو عليهم جمهور الاتحاد وفشل في اول مباراة امام الاتحاد وبعدها طول الموسم عاله على النصر ,risky
 دلوخ خذوه من وهو مصاب عالجوه وجهزوه ل هذا كيف فرطوا فيه ,risky
 نادي محبط ومحزن ومؤسف ان يصل إلى هذا المستوى الهزيل والغير معقول أين الوحده ياجماعه لا أراه ابدا ابدا ابدا ,risky
 يهزم بهيبة الهلال، في مباراة ممتعة في ادائها جميلة في فصولها، هكذا هو في جذوره التى لا يراها الجميع، قبل أن يكون في زهوره التى يراها الجميع، هذه هي الصفه التي يختلف فيها عن البقيه، مبرووووك لجمهور الهلال وعشاقه ومسؤولية تستاهلون ي زعماء آسيا ,Safe
 لن أقول هاردلكم لأن نادينا كبير ارجوأن لا تستمركلمة هاردلكم الفريق الذي يهزم لا يعزي نفسه بضيعنا فرص والفريق المقابل بطل سابق ومرشح حالي ممكن يكون مقبول هذا مع الفرق المبتدئية وليس العريقة البناء فيه شرخ لاينفع فيه الترميم ارجوالتحرك بمايضمن التصحيح لكي تفخروا بادارتكم؟ ,Safe
 متوقع هذه النتيجة عطفاً على اداء ونتائج المباريات السابقه ،، ولكن حسين العيسى و جابر عسيري ما يلعبون ولا دقايق و السوادي كل مباراة ينزل بديل ،،، ياعالم ابو مشرف و مدرب و كابتن سبع صنايع والبخت ضايع ,Safe
 مبروك للهلال ولمحبي وحظ اوفر لنادي مستقبلاً ملاحظتين سالم الدوسري منخفظ مستواه قليلاً حتى الآن وخاصة في هذه المباراة والتي قبلها ماريقا له حق ان يغضب لإخراجه وكان الأولى تبديل سالم الدوسري وليس هو ,Safe
 للإمانة أنا راضي عن المدرب وتكتيكه وهذا اللي ينفع لنا في الوقت الراهن قفل والعب مرتدات ولا تنتظرون متعه كروية ولكن اللي خذله حتى الحين هي العناصر الأجنبية مثل المهاجم والجناح ومع هذا التكتيك يجب ان يكونوا سريعين بس حنا العكس ابطىء لاعبين في الدوري وكذلك الدكة الضعيفة ,Safe
 عبدالعزيز نور لاعب ناعم جداً سقوط متكرر لضعف البنية الجسدية كلاعب طرف، اللاعب الجيد يستطيع التغلب على النواقص بذكاء التعامل الفني يبقى لاعب جيد و لكن كإحتراف ، ينبغي عليه أن يكون أكثر شراسة و ذكاء ,Safe
